packet_length,inter_arrival_time,ttl,is_tcp,is_udp,is_icmp,src_port,dst_port,syn_flag,ack_flag,fin_flag,rst_flag,is_well_known_port
60,0.0,0,0,0,0,0,0,0,0,0,0,0
1514,0.098813,100,1,0,0,443,62665,0,1,0,0,0
1514,0.0,100,1,0,0,443,62665,0,1,0,0,0
1514,0.0,100,1,0,0,443,62665,0,1,0,0,0
165,0.0,100,1,0,0,443,62665,0,1,0,0,0
54,8.5e-05,128,1,0,0,62665,443,0,1,0,0,0
1494,0.002697,128,1,0,0,62665,443,0,1,0,0,0
711,0.0,128,1,0,0,62665,443,0,1,0,0,0
609,0.087291,60,0,1,0,443,65182,0,0,0,0,0
78,0.03381,128,0,1,0,65182,443,0,0,0,0,0
69,0.034752,60,0,1,0,443,65182,0,0,0,0,0
75,0.00025,128,0,1,0,65182,443,0,0,0,0,0
54,0.076997,100,1,0,0,443,62665,0,1,0,0,0
157,0.001148,100,1,0,0,443,62665,0,1,0,0,0
519,0.005046,100,1,0,0,443,62665,0,1,1,0,0
54,4.7e-05,128,1,0,0,62665,443,0,1,0,0,0
78,0.000289,128,1,0,0,62665,443,0,1,0,0,0
54,7.9e-05,128,1,0,0,62665,443,0,1,1,0,0
54,0.219098,100,1,0,0,443,62665,0,1,0,0,0
60,0.463699,0,0,0,0,0,0,0,0,0,0,0
1292,1.034005,128,0,1,0,52307,443,0,0,0,0,0
292,0.000239,128,1,0,0,52972,443,0,1,0,0,0
1292,0.03116,60,0,1,0,443,52307,0,0,0,0,0
137,0.000277,128,0,1,0,52307,443,0,0,0,0,0
54,0.001044,57,1,0,0,443,52972,0,1,0,0,0
67,0.023809,60,0,1,0,443,52307,0,0,0,0,0
74,0.000127,128,0,1,0,52307,443,0,0,0,0,0
65,0.006659,60,0,1,0,443,52307,0,0,0,0,0
573,0.0,60,0,1,0,443,52307,0,0,0,0,0
76,0.000113,128,0,1,0,52307,443,0,0,0,0,0
76,5.4e-05,128,0,1,0,52307,443,0,0,0,0,0
627,0.040138,60,0,1,0,443,52307,0,0,0,0,0
83,0.000385,128,0,1,0,52307,443,0,0,0,0,0
120,0.000296,60,0,1,0,443,56461,0,0,0,0,0
76,0.000319,128,0,1,0,56461,443,0,0,0,0,0
71,0.030747,60,0,1,0,443,52307,0,0,0,0,0
85,0.000216,128,0,1,0,52307,443,0,0,0,0,0
67,0.055605,60,0,1,0,443,52307,0,0,0,0,0
226,0.220943,57,1,0,0,443,52972,0,1,0,0,0
185,0.0,57,1,0,0,443,52972,0,1,0,0,0
54,0.000106,128,1,0,0,52972,443,0,1,0,0,0
89,0.000965,128,1,0,0,52972,443,0,1,0,0,0
54,0.031675,57,1,0,0,443,52972,0,1,0,0,0
60,1.49067,0,0,0,0,0,0,0,0,0,0,0
60,1.023976,0,0,0,0,0,0,0,0,0,0,0
92,0.743875,128,0,1,0,63387,53,0,0,0,0,0
215,0.030211,57,0,1,0,53,63387,0,0,0,0,0
66,0.000868,128,1,0,0,62666,443,1,0,0,0,0
66,0.216998,101,1,0,0,443,62666,1,1,0,0,0
54,9.2e-05,128,1,0,0,62666,443,0,1,0,0,0
571,0.000231,128,1,0,0,62666,443,0,1,0,0,0
60,0.031556,0,0,0,0,0,0,0,0,0,0,0
153,0.212981,101,1,0,0,443,62666,0,1,0,0,0
491,0.0008,128,1,0,0,62666,443,0,1,0,0,0
1514,0.23706,101,1,0,0,443,62666,0,1,0,0,0
1514,0.0,101,1,0,0,443,62666,0,1,0,0,0
1514,0.0,101,1,0,0,443,62666,0,1,0,0,0
165,0.0,101,1,0,0,443,62666,0,1,0,0,0
54,7.9e-05,128,1,0,0,62666,443,0,1,0,0,0
1494,0.001492,128,1,0,0,62666,443,0,1,0,0,0
1494,0.0,128,1,0,0,62666,443,0,1,0,0,0
841,0.0,128,1,0,0,62666,443,0,1,0,0,0
54,0.217825,101,1,0,0,443,62666,0,1,0,0,0
157,0.003112,101,1,0,0,443,62666,0,1,0,0,0
54,0.053452,128,1,0,0,62666,443,0,1,0,0,0
519,0.810459,101,1,0,0,443,62666,0,1,1,0,0
54,0.000117,128,1,0,0,62666,443,0,1,0,0,0
78,0.000381,128,1,0,0,62666,443,0,1,0,0,0
54,7.9e-05,128,1,0,0,62666,443,0,1,1,0,0
54,0.216353,101,1,0,0,443,62666,0,1,0,0,0
71,0.045406,128,0,1,0,56907,443,0,0,0,0,0
72,0.052302,60,0,1,0,443,56907,0,0,0,0,0
55,1.108095,128,1,0,0,54447,443,0,1,0,0,0
66,0.216496,100,1,0,0,443,54447,0,1,0,0,0
55,0.108205,128,1,0,0,56941,5228,0,1,0,0,0
66,0.060531,123,1,0,0,5228,56941,0,1,0,0,0
79,0.128792,128,0,1,0,60504,53,0,0,0,0,0
79,0.000236,128,0,1,0,52854,53,0,0,0,0,0
276,0.032621,57,0,1,0,53,60504,0,0,0,0,0
343,0.002329,57,0,1,0,53,52854,0,0,0,0,0
66,0.000602,128,1,0,0,58328,443,1,0,0,0,0
66,0.021928,50,1,0,0,443,58328,1,1,0,0,0
54,7.7e-05,128,1,0,0,58328,443,0,1,0,0,0
1494,0.000513,128,1,0,0,58328,443,0,1,0,0,0
710,0.0,128,1,0,0,58328,443,0,1,0,0,0
54,0.02414,50,1,0,0,443,58328,0,1,0,0,0
153,0.0,50,1,0,0,443,58328,0,1,0,0,0
964,0.000326,128,1,0,0,58328,443,0,1,0,0,0
1514,0.023673,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1230,0.0,50,1,0,0,443,58328,0,1,0,0,0
54,9.6e-05,128,1,0,0,58328,443,0,1,0,0,0
1514,0.001374,50,1,0,0,443,58328,0,1,0,0,0
1491,0.0,50,1,0,0,443,58328,0,1,0,0,0
54,4.5e-05,128,1,0,0,58328,443,0,1,0,0,0
128,0.000201,128,1,0,0,58328,443,0,1,0,0,0
146,0.000127,128,1,0,0,58328,443,0,1,0,0,0
327,0.000123,128,1,0,0,58328,443,0,1,0,0,0
54,0.022521,50,1,0,0,443,58328,0,1,0,0,0
341,0.0,50,1,0,0,443,58328,0,1,0,0,0
341,0.0,50,1,0,0,443,58328,0,1,0,0,0
125,0.0,50,1,0,0,443,58328,0,1,0,0,0
54,0.000117,128,1,0,0,58328,443,0,1,0,0,0
85,0.000147,128,1,0,0,58328,443,0,1,0,0,0
1514,0.004618,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
54,7.4e-05,128,1,0,0,58328,443,0,1,0,0,0
1514,0.001964,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
54,4.3e-05,128,1,0,0,58328,443,0,1,0,0,0
1514,0.005145,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
54,8.8e-05,128,1,0,0,58328,443,0,1,0,0,0
1514,0.011338,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
1514,0.0,50,1,0,0,443,58328,0,1,0,0,0
