No.,Time,Source,Destination,Protocol,Length,Info
1,0,192.168.2.13,8.8.4.4,QUIC,1292,"Initial, DCID=6160c941423d4e4e, PKN: 1, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, PADDING, PING, PADDING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, PING"
2,0.000021,192.168.1.50,192.168.1.1,TCP,850,"68000,80,0.6"
3,0.000201,192.168.2.13,8.8.4.4,QUIC,1292,"Initial, DCID=6160c941423d4e4e, PKN: 2, CRYPTO, CRYPTO, PING, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, PING, PADDING, PING, PING"
4,0.000693,192.168.2.13,8.8.4.4,QUIC,121,"0-RTT, DCID=6160c941423d4e4e"
5,0.00135,192.168.2.13,8.8.4.4,QUIC,305,"0-RTT, DCID=6160c941423d4e4e"
6,0.001954,192.168.2.13,8.8.4.4,QUIC,260,"0-RTT, DCID=6160c941423d4e4e"
7,0.031995,8.8.4.4,192.168.2.13,QUIC,82,"Initial, SCID=e160c941423d4e4e, PKN: 1, ACK"
8,0.081358,192.168.2.13,8.8.4.4,QUIC,1292,"Initial, DCID=e160c941423d4e4e, PKN: 7, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, PING, CRYPTO, PADDING, PING, CRYPTO, PADDING, PING, PADDING, PING, PING, PING"
9,0.113566,8.8.4.4,192.168.2.13,QUIC,1292,"Initial, SCID=e160c941423d4e4e, PKN: 2, ACK, PADDING"
10,0.129912,192.168.2.13,8.8.4.4,QUIC,260,"0-RTT, DCID=e160c941423d4e4e"
11,0.130184,192.168.2.13,8.8.4.4,QUIC,260,"0-RTT, DCID=e160c941423d4e4e"
12,0.143159,8.8.4.4,192.168.2.13,QUIC,1292,"Initial, SCID=e160c941423d4e4e, PKN: 3, CRYPTO, PADDING"
13,0.143159,8.8.4.4,192.168.2.13,QUIC,333,Protected Payload (KP0)
14,0.143972,192.168.2.13,8.8.4.4,QUIC,120,"Handshake, DCID=e160c941423d4e4e"
15,0.144012,8.8.4.4,192.168.2.13,QUIC,976,Protected Payload (KP0)
16,0.144012,8.8.4.4,192.168.2.13,QUIC,67,Protected Payload (KP0)
17,0.144185,192.168.2.13,8.8.4.4,QUIC,73,"Protected Payload (KP0), DCID=e160c941423d4e4e"
18,0.144267,192.168.2.13,8.8.4.4,QUIC,113,"Protected Payload (KP0), DCID=e160c941423d4e4e"
19,0.161493,8.8.4.4,192.168.2.13,QUIC,73,Protected Payload (KP0)
20,0.161493,8.8.4.4,192.168.2.13,QUIC,71,Protected Payload (KP0)
21,0.161881,192.168.2.13,8.8.4.4,QUIC,73,"Protected Payload (KP0), DCID=e160c941423d4e4e"
22,0.174986,8.8.4.4,192.168.2.13,QUIC,162,Protected Payload (KP0)
23,0.174986,8.8.4.4,192.168.2.13,QUIC,69,Protected Payload (KP0)
24,0.175758,8.8.4.4,192.168.2.13,QUIC,742,Protected Payload (KP0)
25,0.175758,8.8.4.4,192.168.2.13,QUIC,64,Protected Payload (KP0)
26,0.176194,192.168.2.13,8.8.4.4,QUIC,77,"Protected Payload (KP0), DCID=e160c941423d4e4e"
27,0.176683,8.8.4.4,192.168.2.13,QUIC,572,Protected Payload (KP0)
28,0.176683,8.8.4.4,192.168.2.13,QUIC,64,Protected Payload (KP0)
29,0.177064,192.168.2.13,8.8.4.4,QUIC,77,"Protected Payload (KP0), DCID=e160c941423d4e4e"
30,0.178474,192.168.2.13,142.250.192.99,QUIC,1292,"Initial, DCID=82745b55fb802441, PKN: 1, PADDING, PING, PING, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO"
31,0.178586,192.168.2.13,142.250.192.99,QUIC,1292,"Initial, DCID=82745b55fb802441, PKN: 2, CRYPTO, PING, PING, PING, PING, PING, PADDING, CRYPTO, PING, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PING, PING"
32,0.189296,8.8.4.4,192.168.2.13,QUIC,571,Protected Payload (KP0)
33,0.189296,8.8.4.4,192.168.2.13,QUIC,64,Protected Payload (KP0)
34,0.189703,192.168.2.13,8.8.4.4,QUIC,77,"Protected Payload (KP0), DCID=e160c941423d4e4e"
35,0.190558,8.8.4.4,192.168.2.13,QUIC,572,Protected Payload (KP0)
36,0.190558,8.8.4.4,192.168.2.13,QUIC,64,Protected Payload (KP0)
37,0.191066,192.168.2.13,8.8.4.4,QUIC,77,"Protected Payload (KP0), DCID=e160c941423d4e4e"
38,0.19188,192.168.2.13,142.250.195.14,TCP,66,57720  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
39,0.207953,8.8.4.4,192.168.2.13,QUIC,65,Protected Payload (KP0)
40,0.212082,142.250.192.99,192.168.2.13,QUIC,82,"Initial, SCID=e2745b55fb802441, PKN: 1, ACK"
41,0.22176,192.168.2.13,8.8.4.4,QUIC,74,"Protected Payload (KP0), DCID=e160c941423d4e4e"
42,0.22282,8.8.4.4,192.168.2.13,QUIC,65,Protected Payload (KP0)
43,0.224614,142.250.195.14,192.168.2.13,TCP,66,"443  >  57720 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
44,0.224704,192.168.2.13,142.250.195.14,TCP,54,57720  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0
45,0.225894,192.168.2.13,142.250.195.14,TCP,1466,57720  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=1412 [TCP PDU reassembled in 45]
46,0.225894,192.168.2.13,142.250.195.14,TLSv1.3,403,Client Hello (SNI=clients4.google.com)
47,0.241051,192.168.2.13,8.8.4.4,QUIC,256,"Protected Payload (KP0), DCID=e160c941423d4e4e"
48,0.241322,192.168.2.13,8.8.4.4,QUIC,252,"Protected Payload (KP0), DCID=e160c941423d4e4e"
49,0.253323,192.168.2.13,142.250.192.99,QUIC,1292,"Initial, DCID=e2745b55fb802441, PKN: 4, PADDING, PING, CRYPTO, CRYPTO, PING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, PING, PING"
50,0.260836,142.250.195.14,192.168.2.13,TCP,54,443  >  57720 [ACK] Seq=1 Ack=1762 Win=268032 Len=0
51,0.260836,142.250.195.14,192.168.2.13,TLSv1.3,1466,"Server Hello, Change Cipher Spec"
52,0.261096,142.250.195.14,192.168.2.13,TCP,1466,"443  >  57720 [PSH, ACK] Seq=1413 Ack=1762 Win=268032 Len=1412 [TCP PDU reassembled in 57]"
53,0.261096,142.250.195.14,192.168.2.13,TCP,1466,443  >  57720 [ACK] Seq=2825 Ack=1762 Win=268032 Len=1412 [TCP PDU reassembled in 57]
54,0.261181,192.168.2.13,142.250.195.14,TCP,54,57720  >  443 [ACK] Seq=1762 Ack=4237 Win=66304 Len=0
55,0.262197,142.250.195.14,192.168.2.13,TCP,1466,"443  >  57720 [PSH, ACK] Seq=4237 Ack=1762 Win=268032 Len=1412 [TCP PDU reassembled in 57]"
56,0.262244,192.168.2.13,142.250.195.14,TCP,54,57720  >  443 [ACK] Seq=1762 Ack=5649 Win=66304 Len=0
